id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Thunder,Ironwave,rock,intense,0.88,148,0.44,0.70,0.08
12,Rain on Glass,Paper Lanterns,ambient,chill,0.22,55,0.68,0.38,0.95
13,Neon Heartbeat,Synthara,synthwave,moody,0.80,115,0.52,0.76,0.14
14,Golden Hour,Indigo Parade,indie pop,happy,0.71,120,0.85,0.78,0.42
15,Deep Study,LoRoom,lofi,focused,0.38,75,0.61,0.55,0.82
16,Swing District,Slow Stereo,jazz,relaxed,0.45,95,0.74,0.59,0.83
17,Cardio Rush,Max Pulse,pop,intense,0.95,140,0.72,0.91,0.03
18,Hollow Echoes,Orbit Bloom,ambient,moody,0.31,58,0.38,0.35,0.90
19,Summer Static,Neon Echo,pop,happy,0.78,126,0.88,0.83,0.20
20,Ember Roads,Voltline,rock,moody,0.84,138,0.43,0.67,0.12
